name,category,maximum_stacks,crystal,recipe_types,source
Treasure Magnet,Prize abilities,5,Hungry Crystal,"C , D , G , H , K , L , O , P",https://www.khwiki.com/Abilities_(KHBBS)
HP Prize Plus,Prize abilities,3,Hungry Crystal,"A , B , E , F , I , J , M , N",https://www.khwiki.com/Abilities_(KHBBS)
Link Prize Plus,Prize abilities,3,Abounding Crystal,"A , C , E , G , I",https://www.khwiki.com/Abilities_(KHBBS)
Lucky Strike,Prize abilities,5,Abounding Crystal,"B , D , F , H , K , N , P",https://www.khwiki.com/Abilities_(KHBBS)
HP Boost,Stats abilities,3,Soothing Crystal,"A , C , E , G , I , K",https://www.khwiki.com/Abilities_(KHBBS)
Fire Boost,Stats abilities,3,Shimmering Crystal,"A , M",https://www.khwiki.com/Abilities_(KHBBS)
Blizzard Boost,Stats abilities,3,Shimmering Crystal,"B , N",https://www.khwiki.com/Abilities_(KHBBS)
Thunder Boost,Stats abilities,3,Shimmering Crystal,"C , O",https://www.khwiki.com/Abilities_(KHBBS)
Cure Boost,Stats abilities,3,Shimmering Crystal,"D , P",https://www.khwiki.com/Abilities_(KHBBS)
Item Boost,Stats abilities,3,Soothing Crystal,"B , D , F , H , J , L",https://www.khwiki.com/Abilities_(KHBBS)
Attack Haste,Stats abilities,5,Fleeting Crystal,"E , F , G , H , I , K",https://www.khwiki.com/Abilities_(KHBBS)
Magic Haste,Stats abilities,5,Fleeting Crystal,"A , B , C , D , J , L",https://www.khwiki.com/Abilities_(KHBBS)
Combo F Boost,Stats abilities,2,Pulsing Crystal,"C , D , J , L , O",https://www.khwiki.com/Abilities_(KHBBS)
Finish Boost,Stats abilities,2,Pulsing Crystal,"G , H , I , K , M",https://www.khwiki.com/Abilities_(KHBBS)
Fire Screen,Stats abilities,2,Shimmering Crystal,"E , I",https://www.khwiki.com/Abilities_(KHBBS)
Blizzard Screen,Stats abilities,2,Shimmering Crystal,"F , J",https://www.khwiki.com/Abilities_(KHBBS)
Thunder Screen,Stats abilities,2,Shimmering Crystal,"G , K",https://www.khwiki.com/Abilities_(KHBBS)
Dark Screen,Stats abilities,2,Shimmering Crystal,"H , L",https://www.khwiki.com/Abilities_(KHBBS)
Reload Boost,Stats abilities,1,Fleeting Crystal,"M , N , O , P",https://www.khwiki.com/Abilities_(KHBBS)
Defender,Stats abilities,1,Soothing Crystal,"O , P",https://www.khwiki.com/Abilities_(KHBBS)
Zero EXP,Support abilities,1,N/A,—,https://www.khwiki.com/Abilities_(KHBBS)
Combo Plus,Support abilities,3,Wellspring Crystal,"B , D , E , G , I , K , P",https://www.khwiki.com/Abilities_(KHBBS)
Air Combo Plus,Support abilities,3,Wellspring Crystal,"A , C , F , H , J , L , N",https://www.khwiki.com/Abilities_(KHBBS)
EXP Chance,Support abilities,1,Abounding Crystal,"M , O",https://www.khwiki.com/Abilities_(KHBBS)
EXP Walker,Support abilities,1,Abounding Crystal,"J , L",https://www.khwiki.com/Abilities_(KHBBS)
Damage Syphon,Support abilities,1,Soothing Crystal,"M , N",https://www.khwiki.com/Abilities_(KHBBS)
Second Chance,Support abilities,1,Pulsing Crystal,"N , P",https://www.khwiki.com/Abilities_(KHBBS)
Once More,Support abilities,1,Wellspring Crystal,"M , O",https://www.khwiki.com/Abilities_(KHBBS)
Scan,Support abilities,1,N/A,—,https://www.khwiki.com/Abilities_(KHBBS)
Leaf Bracer,Support abilities,1,Pulsing Crystal,"A , B , E , F",https://www.khwiki.com/Abilities_(KHBBS)
