id,character,episode,world,category,source_position,name,area,count_scope,detail_status,source
bbsfm:terra:land-of-departure:treasure:1,Terra,main,Land of Departure,treasure,1,Pulsing Crystal,Mountain Path,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Land_of_Departure
bbsfm:terra:land-of-departure:treasure:2,Terra,main,Land of Departure,treasure,2,Hi-Potion,Mountain Path,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Land_of_Departure
bbsfm:terra:land-of-departure:treasure:3,Terra,main,Land of Departure,treasure,3,Stop,Mountain Path,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Land_of_Departure
bbsfm:terra:land-of-departure:treasure:4,Terra,main,Land of Departure,treasure,4,Soothing Crystal,Summit,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Land_of_Departure
bbsfm:ventus:land-of-departure:tutorial-treasure:tutorial,Ventus,main,Land of Departure,tutorial-treasure,,Sliding Dash,Mountain Path,acquisition-only,area-only; precise directions pending,https://www.khwiki.com/Game:Land_of_Departure
bbsfm:aqua:land-of-departure:treasure:1,Aqua,main,Land of Departure,treasure,1,Shimmering Crystal,Mountain Path,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Land_of_Departure
bbsfm:aqua:land-of-departure:treasure:2,Aqua,main,Land of Departure,treasure,2,Hi-Potion,Mountain Path,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Land_of_Departure
bbsfm:aqua:land-of-departure:treasure:3,Aqua,main,Land of Departure,treasure,3,Bind,Mountain Path,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Land_of_Departure
bbsfm:aqua:land-of-departure:treasure:4,Aqua,main,Land of Departure,treasure,4,Fleeting Crystal,Summit,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Land_of_Departure
bbsfm:terra:dwarf-woodlands:treasure:1,Terra,main,Dwarf Woodlands,treasure,1,Balloon Letter,Vault,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:terra:dwarf-woodlands:treasure:2,Terra,main,Dwarf Woodlands,treasure,2,Ether,Vault,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:terra:dwarf-woodlands:treasure:3,Terra,main,Dwarf Woodlands,treasure,3,Potion,Vault,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:terra:dwarf-woodlands:treasure:4,Terra,main,Dwarf Woodlands,treasure,4,Flame Salvo,Vault,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:terra:dwarf-woodlands:treasure:5,Terra,main,Dwarf Woodlands,treasure,5,Potion,Underground Waterway,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:terra:dwarf-woodlands:treasure:6,Terra,main,Dwarf Woodlands,treasure,6,Block Recipe,Underground Waterway,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:terra:dwarf-woodlands:treasure:7,Terra,main,Dwarf Woodlands,treasure,7,Poison Edge,Underground Waterway,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:terra:dwarf-woodlands:treasure:8,Terra,main,Dwarf Woodlands,treasure,8,Fire,Underground Waterway,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:terra:dwarf-woodlands:treasure:9,Terra,main,Dwarf Woodlands,treasure,9,Fission Firaga,Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:terra:dwarf-woodlands:treasure:10,Terra,main,Dwarf Woodlands,treasure,10,Potion,Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:terra:dwarf-woodlands:treasure:11,Terra,main,Dwarf Woodlands,treasure,11,Map,Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:terra:dwarf-woodlands:treasure:12,Terra,main,Dwarf Woodlands,treasure,12,Soothing Crystal,Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:terra:dwarf-woodlands:treasure:13,Terra,main,Dwarf Woodlands,treasure,13,Hungry Crystal,Flower Glade,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:ventus:dwarf-woodlands:treasure:1,Ventus,main,Dwarf Woodlands,treasure,1,Payback Raid,The Mine,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:ventus:dwarf-woodlands:treasure:2,Ventus,main,Dwarf Woodlands,treasure,2,Panacea,The Mine,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:ventus:dwarf-woodlands:treasure:3,Ventus,main,Dwarf Woodlands,treasure,3,Mini,The Mine,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:ventus:dwarf-woodlands:treasure:4,Ventus,main,Dwarf Woodlands,treasure,4,Soothing Crystal,Flower Glade,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:ventus:dwarf-woodlands:treasure:5,Ventus,main,Dwarf Woodlands,treasure,5,Shimmering Crystal,Deep Woods,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:ventus:dwarf-woodlands:treasure:6,Ventus,main,Dwarf Woodlands,treasure,6,Potion,Deep Woods,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:ventus:dwarf-woodlands:treasure:7,Ventus,main,Dwarf Woodlands,treasure,7,Ether,Deep Woods,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:ventus:dwarf-woodlands:treasure:8,Ventus,main,Dwarf Woodlands,treasure,8,Fire,Cottage Clearing,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:ventus:dwarf-woodlands:treasure:9,Ventus,main,Dwarf Woodlands,treasure,9,Poison,Cottage Clearing,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:ventus:dwarf-woodlands:treasure:10,Ventus,main,Dwarf Woodlands,treasure,10,Map,Cottage Clearing,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:ventus:dwarf-woodlands:treasure:11,Ventus,main,Dwarf Woodlands,treasure,11,Attack Recipe,The Cottage,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:ventus:dwarf-woodlands:treasure:12,Ventus,main,Dwarf Woodlands,treasure,12,Potion,Mountain Trail,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:ventus:dwarf-woodlands:treasure:13,Ventus,main,Dwarf Woodlands,treasure,13,Ether,Mountain Trail,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:ventus:dwarf-woodlands:treasure:14,Ventus,main,Dwarf Woodlands,treasure,14,Potion,Mountain Trail,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:1,Aqua,main,Dwarf Woodlands,treasure,1,Balloon Letter,Vault,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:2,Aqua,main,Dwarf Woodlands,treasure,2,Potion,Vault,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:3,Aqua,main,Dwarf Woodlands,treasure,3,Shimmering Crystal,Vault,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:4,Aqua,main,Dwarf Woodlands,treasure,4,Magnet,Vault,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:5,Aqua,main,Dwarf Woodlands,treasure,5,Shimmering Crystal,Underground Waterway,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:6,Aqua,main,Dwarf Woodlands,treasure,6,Fleeting Crystal,Underground Waterway,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:7,Aqua,main,Dwarf Woodlands,treasure,7,Fire,Underground Waterway,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:8,Aqua,main,Dwarf Woodlands,treasure,8,Fission Firaga,Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:9,Aqua,main,Dwarf Woodlands,treasure,9,Potion,Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:10,Aqua,main,Dwarf Woodlands,treasure,10,Map,Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:11,Aqua,main,Dwarf Woodlands,treasure,11,Fleeting Crystal,Courtyard,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:12,Aqua,main,Dwarf Woodlands,treasure,12,Hungry Crystal,Flower Glade,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:13,Aqua,main,Dwarf Woodlands,treasure,13,Hi-Potion,Deep Woods,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:14,Aqua,main,Dwarf Woodlands,treasure,14,Ether,Deep Woods,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:15,Aqua,main,Dwarf Woodlands,treasure,15,Potion,Deep Woods,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:16,Aqua,main,Dwarf Woodlands,treasure,16,Payback Surge,Cottage Clearing,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:17,Aqua,main,Dwarf Woodlands,treasure,17,Poison,Cottage Clearing,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
bbsfm:aqua:dwarf-woodlands:treasure:18,Aqua,main,Dwarf Woodlands,treasure,18,Attack Recipe,The Cottage,world-collectibles,area-only; precise directions pending,https://www.khwiki.com/Game:Dwarf_Woodlands
