Air Pirate,
Winged Heartless that mostly appear in Neverland. They are extremely combative and are hardly ever caught off guard. They attack with martial-arts-like techniques.,,,,,,
Vital Stats,,,,,,
HP,Attack,Defense,MP,Experience,Drops,Worlds
120,27,21,38,40,"Power Gem, Hi-Potion, Mega-Potion","Neverland, Monstro"
Attack Resistance,,,,,,
Weapon,Fire,Blizzard,Thunder,Gravity,Stop,Instant KO
1,1,1,1,1,1,1
Air Soldier,,,,,,
Winged Heartless. They fly over their enemies and dive to strike them. Their high endurance and quickness make them tough to beat.,,,,,,
Vital Stats,,,,,,
HP,Attack,Defense,MP,Experience,Drops,Worlds
33,15,12,18,5,"Potion, Hi-Potion, Spirit Gem","Traverse Town, Wonderland, Agrabah, Monstro"
Attack Resistance,,,,,,
Weapon,Fire,Blizzard,Thunder,Gravity,Stop,Instant KO
1,1,1,1,1,1,1
Angel Star,,,,,,
"Flying Heartless that cast potent spells. They are born of holy spells. They attack from long range with magic. They block physical attacks with their wings, making them difficult to defeat.",,,,,,
Vital Stats,,,,,,
HP,Attack,Defense,MP,Experience,Drops,Worlds
220,40,30,55,150,"Ether, Gale, Mythril",The End of the World
Attack Resistance,,,,,,
Weapon,Fire,Blizzard,Thunder,Gravity,Stop,Instant KO
1,0.5,0.5,Absorb,0.5,0.3,1
Aquatank,,,,,,
Heartless resembling a fish that calmly swim the seas. They are often carrying Screwdivers. Leisurely large creatures that do not attack unless provoked.,,,,,,
Vital Stats,,,,,,
HP,Attack,Defense,MP,Experience,Drops,Worlds
120,22,19,33,30,"Mega-Potion, Thunder Gem, Thundaga Ring",Atlantica
Attack Resistance,,,,,,
Weapon,Fire,Blizzard,Thunder,Gravity,Stop,Instant KO
1,1,1,1,0.9,1,1
Bandit,,,,,,
Heartless that mostly appear in Agrabah. They can travel under the sand. They attack deftly with a long sword. Attack them with caution.,,,,,,
Vital Stats,,,,,,
HP,Attack,Defense,MP,Experience,Drops,Worlds
